Al-Si: 	 0.34508253851344733, 	 Al-Si: 	 0.34508253851344733 	 in ( Si-Si)
Si-Al: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Al)
Si-Si: 	 1.0, 	 Si-Al: 	 0.0 	 in ( Si-Al)
Al-Si: 	 0.006044566595434659, 	 Al-Cu: 	 0.798297426834224 	 in ( Si-Cu)
Si-Al: 	 0.041575033283502066, 	 Si-Cu: 	 0.09063872907434932 	 in ( Cu-Al)
Cu-Si: 	 0.012940989624687873, 	 Cu-Al: 	 0.7839454611126181 	 in ( Si-Al)
Al-Cu: 	 0.18393972058572117, 	 Al-Cu: 	 0.18393972058572117 	 in ( Cu-Cu)
Cu-Al: 	 0.0, 	 Cu-Cu: 	 1.0 	 in ( Cu-Al)
Cu-Cu: 	 1.0, 	 Cu-Al: 	 0.0 	 in ( Cu-Al)
Al-Cu: 	 0.1489081840993593, 	 Al-Mn: 	 0.015784743391887544 	 in ( Cu-Mn)
Cu-Al: 	 0.04957107261387277, 	 Cu-Mn: 	 0.5051177258350728 	 in ( Mn-Al)
Mn-Cu: 	 0.5692970767969767, 	 Mn-Al: 	 0.005922343856942652 	 in ( Cu-Al)
Fe-Si: 	 0.410671570522026, 	 Fe-C: 	 0.1555455734463105 	 in ( Si-C)
Si-Fe: 	 0.3606148387431209, 	 Si-C: 	 0.23965375785423756 	 in ( C-Fe)
C-Si: 	 0.3219376383708923, 	 C-Fe: 	 0.18348227706379294 	 in ( Si-Fe)
Fe-Si: 	 0.24764037707453457, 	 Fe-Si: 	 0.24764037707453457 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.2679339137908542, 	 Fe-C: 	 0.2679339137908542 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1555455734463105, 	 Fe-Si: 	 0.410671570522026 	 in ( C-Si)
C-Fe: 	 0.18348227706379294, 	 C-Si: 	 0.3219376383708923 	 in ( Si-Fe)
Si-C: 	 0.23965375785423756, 	 Si-Fe: 	 0.3606148387431209 	 in ( C-Fe)
Fe-Si: 	 0.410671570522026, 	 Fe-C: 	 0.1555455734463105 	 in ( Si-C)
Si-Fe: 	 0.3606148387431209, 	 Si-C: 	 0.23965375785423756 	 in ( C-Fe)
C-Si: 	 0.3219376383708923, 	 C-Fe: 	 0.18348227706379294 	 in ( Si-Fe)
Fe-Si: 	 0.24764037707453457, 	 Fe-Si: 	 0.24764037707453457 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.2679339137908542, 	 Fe-C: 	 0.2679339137908542 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1555455734463105, 	 Fe-Si: 	 0.410671570522026 	 in ( C-Si)
C-Fe: 	 0.18348227706379294, 	 C-Si: 	 0.3219376383708923 	 in ( Si-Fe)
Si-C: 	 0.23965375785423756, 	 Si-Fe: 	 0.3606148387431209 	 in ( C-Fe)
Fe-Si: 	 0.410671570522026, 	 Fe-C: 	 0.1555455734463105 	 in ( Si-C)
Si-Fe: 	 0.3606148387431209, 	 Si-C: 	 0.23965375785423756 	 in ( C-Fe)
C-Si: 	 0.3219376383708923, 	 C-Fe: 	 0.18348227706379294 	 in ( Si-Fe)
Fe-Si: 	 0.24764037707453457, 	 Fe-Si: 	 0.24764037707453457 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.41138230139596027, 	 Fe-C: 	 0.1556137835289715 	 in ( Si-C)
Si-Fe: 	 0.361115857532246, 	 Si-C: 	 0.23998086690566753 	 in ( C-Fe)
C-Si: 	 0.32256260407355447, 	 C-Fe: 	 0.18360580888637368 	 in ( Si-Fe)
Fe-Si: 	 0.2481528692841371, 	 Fe-Si: 	 0.2481528692841371 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.2682201063764299, 	 Fe-C: 	 0.2682201063764299 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.1556137835289715, 	 Fe-Si: 	 0.41138230139596027 	 in ( C-Si)
C-Fe: 	 0.18360580888637368, 	 C-Si: 	 0.32256260407355447 	 in ( Si-Fe)
Si-C: 	 0.23998086690566753, 	 Si-Fe: 	 0.361115857532246 	 in ( C-Fe)
Fe-Si: 	 0.41138230139596027, 	 Fe-C: 	 0.1556137835289715 	 in ( Si-C)
Si-Fe: 	 0.361115857532246, 	 Si-C: 	 0.23998086690566753 	 in ( C-Fe)
C-Si: 	 0.32256260407355447, 	 C-Fe: 	 0.18360580888637368 	 in ( Si-Fe)
Fe-Si: 	 0.2481528692841371, 	 Fe-Si: 	 0.2481528692841371 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-C: 	 0.2682201063764299, 	 Fe-C: 	 0.2682201063764299 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
