Fe-C: 	 0.27405983787010185, 	 Fe-C: 	 0.27405983787010185 	 in ( C-C)
C-Fe: 	 0.0, 	 C-C: 	 1.0 	 in ( C-Fe)
C-C: 	 1.0, 	 C-Fe: 	 0.0 	 in ( C-Fe)
Fe-C: 	 0.15687149217297688, 	 Fe-Si: 	 0.42595868515054874 	 in ( C-Si)
C-Fe: 	 0.18638905183831242, 	 C-Si: 	 0.33425600096198727 	 in ( Si-Fe)
Si-C: 	 0.24559671586428555, 	 Si-Fe: 	 0.3718666157190542 	 in ( C-Fe)
Fe-Si: 	 0.25859619854958227, 	 Fe-Si: 	 0.25859619854958227 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.25859619854958227, 	 Fe-Si: 	 0.25859619854958227 	 in ( Si-Si)
Si-Fe: 	 0.0, 	 Si-Si: 	 1.0 	 in ( Si-Fe)
Si-Si: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Ni: 	 0.18393972058572117, 	 Fe-Ni: 	 0.18393972058572117 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.0004710905506452732, 	 Fe-B: 	 1.9610242294427063e-10 	 in ( Ni-B)
Ni-Fe: 	 7.586694773290266e-06, 	 Ni-B: 	 0.9040874344168492 	 in ( B-Fe)
B-Ni: 	 0.9111456924066281, 	 B-Fe: 	 3.182794300305214e-12 	 in ( Ni-Fe)
Fe-Ni: 	 0.18393972058572117, 	 Fe-Ni: 	 0.18393972058572117 	 in ( Ni-Ni)
Ni-Fe: 	 0.0, 	 Ni-Ni: 	 1.0 	 in ( Ni-Fe)
Ni-Ni: 	 1.0, 	 Ni-Fe: 	 0.0 	 in ( Ni-Fe)
Fe-Ni: 	 0.0004710905506452732, 	 Fe-B: 	 1.9610242294427063e-10 	 in ( Ni-B)
Ni-Fe: 	 7.586694773290266e-06, 	 Ni-B: 	 0.9040874344168492 	 in ( B-Fe)
B-Ni: 	 0.9111456924066281, 	 B-Fe: 	 3.182794300305214e-12 	 in ( Ni-Fe)
Fe-B: 	 0.17467046453502266, 	 Fe-B: 	 0.17467046453502266 	 in ( B-B)
B-Fe: 	 0.0, 	 B-B: 	 1.0 	 in ( B-Fe)
